gene,cluster,ZT,expression,adj.p_1,adj.p_2,adj.p_3
7B2,ALG,14,1.429574251174927,3.2729640151515e-4,0.00114660114660115,4.403409090909e-4
7B2,ALG,20,0.7386608719825745,3.2729640151515e-4,0.00114660114660115,4.403409090909e-4
7B2,ALG,26,1.175830125808716,3.2729640151515e-4,0.00114660114660115,4.403409090909e-4
7B2,ALG,32,0.3776260018348694,3.2729640151515e-4,0.00114660114660115,4.403409090909e-4
7B2,ALG,38,1.429574251174927,3.2729640151515e-4,0.00114660114660115,4.403409090909e-4
7B2,ALG,44,0.7386608719825745,3.2729640151515e-4,0.00114660114660115,4.403409090909e-4
7B2,EG_1,2,0.9869195222854614,0.00122082897944967,4.1889483065953e-4,0.00120490620490621
7B2,EG_1,8,0.2681758105754852,0.00122082897944967,4.1889483065953e-4,0.00120490620490621
7B2,EG_1,14,1.293596625328064,0.00122082897944967,4.1889483065953e-4,0.00120490620490621
7B2,EG_1,20,0.7152620553970337,0.00122082897944967,4.1889483065953e-4,0.00120490620490621
7B2,EG_1,26,0.9869195222854614,0.00122082897944967,4.1889483065953e-4,0.00120490620490621
7B2,EG_1,32,0.2681758105754852,0.00122082897944967,4.1889483065953e-4,0.00120490620490621
7B2,EG_1,38,1.293596625328064,0.00122082897944967,4.1889483065953e-4,0.00120490620490621
7B2,EG_1,44,0.7152620553970337,0.00122082897944967,4.1889483065953e-4,0.00120490620490621
7B2,EG_2,2,1.078227162361145,0.00543487359785702,4.3678977272727e-4,5.5757575757575e-4
7B2,EG_2,8,0.3337505459785461,0.00543487359785702,4.3678977272727e-4,5.5757575757575e-4
7B2,EG_2,14,1.380082964897156,0.00543487359785702,4.3678977272727e-4,5.5757575757575e-4
7B2,EG_2,20,0.580549955368042,0.00543487359785702,4.3678977272727e-4,5.5757575757575e-4
7B2,EG_2,26,1.078227162361145,0.00543487359785702,4.3678977272727e-4,5.5757575757575e-4
7B2,EG_2,32,0.3337505459785461,0.00543487359785702,4.3678977272727e-4,5.5757575757575e-4
7B2,EG_2,38,1.380082964897156,0.00543487359785702,4.3678977272727e-4,5.5757575757575e-4
7B2,EG_2,44,0.580549955368042,0.00543487359785702,4.3678977272727e-4,5.5757575757575e-4
7B2,PG,2,0.6335707306861877,0.00973341004986575,0.0109234955185659,0.00630722114764668
7B2,PG,8,0.2790636718273163,0.00973341004986575,0.0109234955185659,0.00630722114764668
7B2,PG,14,0.9312554597854614,0.00973341004986575,0.0109234955185659,0.00630722114764668
7B2,PG,20,0.5659469962120056,0.00973341004986575,0.0109234955185659,0.00630722114764668
7B2,PG,26,0.6335707306861877,0.00973341004986575,0.0109234955185659,0.00630722114764668
7B2,PG,32,0.2790636718273163,0.00973341004986575,0.0109234955185659,0.00630722114764668
7B2,PG,38,0.9312554597854614,0.00973341004986575,0.0109234955185659,0.00630722114764668
7B2,PG,44,0.5659469962120056,0.00973341004986575,0.0109234955185659,0.00630722114764668
A2bp1,79,2,2.138312578201294,8.2188160676532e-4,0.002018779342723,6.3429752066115e-4
A2bp1,79,8,1.243335723876953,8.2188160676532e-4,0.002018779342723,6.3429752066115e-4
A2bp1,79,14,2.474827289581299,8.2188160676532e-4,0.002018779342723,6.3429752066115e-4
A2bp1,79,20,1.928508877754211,8.2188160676532e-4,0.002018779342723,6.3429752066115e-4
A2bp1,79,26,2.138312578201294,8.2188160676532e-4,0.002018779342723,6.3429752066115e-4
A2bp1,79,32,1.243335723876953,8.2188160676532e-4,0.002018779342723,6.3429752066115e-4
A2bp1,79,38,2.474827289581299,8.2188160676532e-4,0.002018779342723,6.3429752066115e-4
A2bp1,79,44,1.928508877754211,8.2188160676532e-4,0.002018779342723,6.3429752066115e-4
AGO1,79,2,1.862502932548523,0.0403167049556941,0.0256059027777778,0.023884276900744
AGO1,79,8,1.01305890083313,0.0403167049556941,0.0256059027777778,0.023884276900744
AGO1,79,14,1.849226474761963,0.0403167049556941,0.0256059027777778,0.023884276900744
AGO1,79,20,1.310259461402893,0.0403167049556941,0.0256059027777778,0.023884276900744
AGO1,79,26,1.862502932548523,0.0403167049556941,0.0256059027777778,0.023884276900744
AGO1,79,32,1.01305890083313,0.0403167049556941,0.0256059027777778,0.023884276900744
AGO1,79,38,1.849226474761963,0.0403167049556941,0.0256059027777778,0.023884276900744
AGO1,79,44,1.310259461402893,0.0403167049556941,0.0256059027777778,0.023884276900744
AMPdeam,127,2,0.5688009262084961,0.00348829201101928,0.0121843434343434,0.00942234848484848
AMPdeam,127,8,0.2379246950149536,0.00348829201101928,0.0121843434343434,0.00942234848484848
AMPdeam,127,14,0.739954948425293,0.00348829201101928,0.0121843434343434,0.00942234848484848
AMPdeam,127,20,0.477790355682373,0.00348829201101928,0.0121843434343434,0.00942234848484848
AMPdeam,127,26,0.5688009262084961,0.00348829201101928,0.0121843434343434,0.00942234848484848
AMPdeam,127,32,0.2379246950149536,0.00348829201101928,0.0121843434343434,0.00942234848484848
AMPdeam,127,38,0.739954948425293,0.00348829201101928,0.0121843434343434,0.00942234848484848
AMPdeam,127,44,0.477790355682373,0.00348829201101928,0.0121843434343434,0.00942234848484848
AMPdeam,27,2,0.6155045032501221,0.0240878169449598,0.00466450216450216,0.00884018759018759
