cluster,gene,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,Pearson_r2,p.adj
EG_2,CG9784,0.1906172037124634,0.1274412125349045,0.100721500813961,0.0862695500254631,0.06722241640090942,0.086399607360363,0,-0.9147682164718454,0.01445526698004475
EG_2,CR44429,0,0,0.02659716829657555,0.02023057080805302,0.02237400412559509,0.04629844054579735,0.0568130649626255,0.9332303255738916,0.007934899873369443
EG_2,Hira,0.02406919375061989,0.0155869210138917,0.02194727957248688,0,0,0,0,-0.8581138411735787,0.049417946649299216
EG_2,IP3K2,0,0.04205479100346565,0,0.0866098403930664,0.0633874237537384,0.1220244169235229,0.1590111702680588,0.9028844202145471,0.01984270108863608
EG_2,Lst8,0.1222072541713715,0.09660830348730087,0.08433693647384644,0.04683582857251167,0.0701514333486557,0,0,-0.9414033910407542,0.00575708362736327
EG_2,ltd,0.03903084248304367,0.02582975849509239,0.03251386433839798,0,0.0073819286189973346,0,0,-0.8797765339077831,0.03322921982126035
EG_2,Mob3,0.0231635607779026,0.09391282498836517,0.08615100383758545,0.1087236404418945,0.120258517563343,0.1549876928329468,0.1793810427188873,0.9544146944231497,0.0030973411858191565
EG_2,Neto,0,0.05196026712656021,0.02729175239801407,0.04437290877103806,0.0458410382270813,0.07530051469802856,0.106659010052681,0.8752009771659613,0.03634827313951841
EG_2,Nle,0,0.01485709752887487,0.05652454867959023,0.07131083309650421,0.09558247774839401,0.06609642505645752,0.09294161200523376,0.8830688131598912,0.031080761407093205
EG_2,sax,0,0.05213097482919693,0.07455535978078842,0.05564537644386292,0.08837246894836426,0.1022033020853996,0.1840296238660812,0.9087944107666552,0.017047418707858267
EG_2,Scamp,0.3281097710132599,0.3014912605285645,0.3297805190086365,0.292369157075882,0.2201990187168121,0.2256864160299301,0.09656494855880737,-0.8850462907474429,0.02983822387218729
EG_2,Spf45,0.06704942137002945,0.1004128530621529,0.2425263822078705,0.1569881588220596,0.1702805459499359,0.2591918408870697,0.3444989323616028,0.8604564086298323,0.0475007713028677
EG_2,step,0.2743189632892609,0.2429688721895218,0.3727612793445587,0.4905960559844971,0.4151189923286438,0.4965536594390869,0.4814049899578094,0.8646345971599849,0.044160505283826694
EG_2,Su(H),0.06886854767799377,0.03229102492332458,0.05345887318253517,0.02538482658565044,0.02618222497403622,0.01671073026955128,0,-0.8917309343913938,0.02583128873634
EG_2,Tap42,0,0.04388913512229919,0.02378825470805168,0.1278673261404037,0.05542520433664322,0.1190311387181282,0.1842087656259537,0.8586423932705135,0.048991550094508125
EG_2,Tpr2,0.2336437106132507,0.2151299715042114,0.2936345338821411,0.3902950882911682,0.3365164399147034,0.4650588035583496,0.4279827475547791,0.9077269493276457,0.017533738604740993
EG_2,Vps13,0.1382131576538086,0.1090810522437096,0.09481090307235718,0.05467130988836288,0.0463925376534462,0.06440018117427826,0,-0.9346764352569014,0.0075209688787234484
EG_2,WDR79,0.0708572044968605,0.03600540012121201,0.06483389437198639,0.031480822712183,0.01293250638991594,0,0,-0.8986677319161381,0.02199124125880792
nonPAM,AGBE,0,0.09159156680107117,0.03338982537388802,0.09014563262462616,0.1091707199811935,0.171622559428215,0.1640972346067429,0.893861746747052,0.013195336465382873
nonPAM,Ak6,0.1809810698032379,0.0781487226486206,0.1083583384752274,0.0726291835308075,0.06286471337080002,0.05413515120744705,0,-0.8862240379595353,0.015644643986624712
